location_id,name,area,location_type,x_coord,y_coord
L001,Bani Hostel,Legon,Hostel,5.650725,0.170538
L002,TF Hall,Legon,Hostel,5.647571,0.178959
L003,International Students Hostel,Legon,Hostel,5.656588,0.17763
L004,New Arts Block,Legon,Academic,5.657234,0.178453
L005,School of Engineering Sciences,Legon,Academic,5.654091,0.189084
L006,Legon Interdenominational Church,Legon,Amenity,5.644558,0.184212
L007,Evandy Hostel,Legon,Hostel,5.641596,0.185344
L008,Department of Statistics,Legon,Academic,5.64202,0.184441
L009,University Health Services Annex,Legon,Health,5.652714,0.182703
L010,Akuafo Hall,Legon,Hostel,5.647404,0.18581
L011,Vice Chancellor's Office,Legon,Admin,5.64534,0.171267
L012,Elizabeth Sey Hall,Legon,Hostel,5.652961,0.177817
L013,Central Cafeteria,Legon,Amenity,5.643423,0.175417
L014,Department of Physics,Legon,Academic,5.643268,0.182411
L015,Legon Hall Junction Shuttle Stop,Legon,Transit,5.65979,0.1772
L016,Commonwealth Junction Shuttle Stop,Legon,Transit,5.651139,0.176308
L017,Great Hall,Legon,Academic,5.656857,0.17448
L018,Jubilee Hall,Legon,Hostel,5.644581,0.189358
L019,ICT Directorate,Legon,Admin,5.646309,0.184645
L020,Computer Science Department,Legon,Academic,5.64422,0.171142
L021,Sports Complex,Legon,Amenity,5.657527,0.183706
L022,Pentagon Hostel (Jean Nelson),Legon,Hostel,5.653109,0.182087
L023,Finance Office,Legon,Admin,5.658291,0.180823
L024,Physics Electronics Lab,Legon,Lab,5.645298,0.185067
L025,Sports Complex Shuttle Stop,Legon,Transit,5.651227,0.184745
L026,Registry Block,Legon,Admin,5.651692,0.172044
L027,UG Hospital (Legon Hospital),Legon,Health,5.647988,0.185614
L028,Hilla Limann Hall,Legon,Hostel,5.659951,0.179809
L029,Alexander Kwapong Hall,Legon,Hostel,5.641818,0.189058
L030,Night Market,Legon,Amenity,5.642193,0.177451
L031,Trinity Hall Chapel,Legon,Amenity,5.655842,0.181557
L032,Main Gate Shuttle Stop,Legon,Transit,5.641271,0.182368
L033,Academic Affairs Directorate,Legon,Admin,5.659922,0.179418
L034,Bank Square (GCB/ADB),Legon,Amenity,5.659422,0.172784
L035,Legon Hall,Legon,Hostel,5.64023,0.175586
L036,Engineering Workshop,Legon,Lab,5.653634,0.179261
L037,Computing Systems Lab (JQB),Legon,Lab,5.645337,0.177181
L038,Department of Mathematics,Legon,Academic,5.642231,0.181305
L039,Vandy Hostel,Legon,Hostel,5.649074,0.170924
L040,Night Market Shuttle Stop,Legon,Transit,5.657517,0.184732
L041,School of Business (UGBS),Legon,Academic,5.650012,0.186427
L042,Students Affairs Office,Legon,Admin,5.658253,0.17259
L043,Department of Chemistry,Legon,Academic,5.645969,0.177221
L044,School of Performing Arts,Legon,Academic,5.652179,0.186943
L045,Commonwealth Hall,Legon,Hostel,5.65525,0.179212
L046,Volta Hall,Legon,Hostel,5.655573,0.179393
L047,Mensah Sarbah Hall,Legon,Hostel,5.640011,0.183517
L048,Balme Library,Legon,Library,5.64039,0.171418
L049,Faculty of Law,Legon,Academic,5.657574,0.173367
L050,Business School Shuttle Stop,Legon,Transit,5.64615,0.188841
